CODIGO_FILIAL;TICKET;DATA_VENDA;ITEM;TERMINAL;LANCAMENTO_CAIXA;NUMERO_CUPOM_FISCAL;PERIODO_FECHAMENTO;VENDEDOR;VENDEDOR_APELIDO;PRODUTO;DESC_PRODUTO;COR_PRODUTO;TAMANHO;QTDE;QTDE_LIQUIDA;QTDE_TROCA;VALOR_LIQUIDO_VENDA;VALOR_TROCA;VALOR_DESCONTOS;VALOR_PAGO;VALOR_FRETE;VALOR_VENDA_BRUTA;TIPO_PRODUTO;TABELA_MEDIDAS;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;COLECAO;GRADE;LINHA;GRIFFE;CARTELA;REFER_FABRICANTE;MODELAGEM;FABRICANTE;ESTILISTA;MODELISTA;TAM;COD_CATEGORIA;CATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO;COD_CATEGORIA;CATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO
4047;7045;25/02/2025;7;1;252P011;6123;1;3550;ANA BEATRIZ              ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;2;1;1;0;93,89;0;11;9389;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;1/2     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7060;26/02/2025;1;1;262P00C;6137;1;3550;ANA BEATRIZ              ;MODC2007    ;COLLANT RETE GLITTER                    ;4696_V3   ;2;1;1;0;94;0;0;94;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;1/2     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;8095;29/05/2025;18;1;295P00D;7028;1;3443;GERENTE                  ;MODC2007    ;COLLANT RETE GLITTER                    ;4696_V3   ;5;1;1;0;0;0;94;0;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;8095;29/05/2025;19;1;295P00D;7028;1;3443;GERENTE                  ;MODC2007    ;COLLANT RETE GLITTER                    ;4696_V3   ;5;1;1;0;0;0;94;0;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;8155;02/06/2025;2;1;026P00B;7084;1;3552;SAMIA                    ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;5;1;1;0;93,69;0;31;9369;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;6739;03/02/2025;1;1;032P00B;5858;1;4120;ANA JULIA                ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;2;1;1;0;0,01;0;0;1;0;1;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;1/2     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;6989;22/02/2025;1;1;222P00F;6077;1;4452;GISLEY                   ;MODC2007    ;COLLANT RETE GLITTER                    ;4696_V3   ;5;1;1;0;94;0;0;94;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7000;23/02/2025;4;1;232P009;6087;1;4452;GISLEY                   ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;5;1;1;0;93,79;0;21;9379;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7000;23/02/2025;3;1;232P009;6087;1;4452;GISLEY                   ;MODC2007    ;COLLANT RETE GLITTER                    ;4696_V3   ;5;1;1;0;93,79;0;21;9379;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7528;10/04/2025;2;1;104P006;6535;1;3550;ANA BEATRIZ              ;MODC2007    ;COLLANT RETE GLITTER                    ;4696_V3   ;5;1;1;0;93,62;0;38;9362;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7231;14/03/2025;1;1;143P00E;6284;1;4452;GISLEY                   ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;5;1;1;0;94;0;0;94;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
